Hierarchical Location Facet Mapping; v.1.1				
Voyager Display Name	Suppress	Call# (852$khim)	Holding Note (852$z)	Facet Display Name
Adelson Library				Adelson Library > Main Collection
Adelson Library Reference (Non-Circulating)				Adelson Library > Reference
Museum of Vertebrates (Non-Circulating)				Adelson Library > Museum of Vertebrates
Macaulay Library (Non-Circulating)				Adelson Library > Macaulay Library
Clarke Africana Library A/V				Africana Library > A/V
Clarke Africana Library New and Noteworthy				Africana Library > New Books Shelf
Clarke Africana Library			new book	Africana Library > New Books Shelf
Clarke Africana Library				Africana Library > Main Collection
Clarke Africana Library Reference ( Non-Circulating)				Africana Library > Reference
Clarke Africana Library Reserve				Africana Library > Reserve
Clarke Africana Library Permanent Reserve				Africana Library > Reserve
Bailey Hortorium (ask at Mann Library Circulation)				Bailey Hortorium > Main Collection
Bailey Hortorium Reference (Non-Circulating)				Bailey Hortorium > Reference
Cornell Center for Social Sciences Data Archive				CCSS Data Archive
Mui Ho Fine Arts Library				Fine Arts Library > Main Collection
Mui Ho Fine Arts Library Artists' Books				Fine Arts Library > Artists' Books
Mui Ho Fine Arts Library Reference (Non-Circulating)		Artist		Fine Arts Library > Artists' Books
Mui Ho Fine Arts Library Reference (Non-Circulating)				Fine Arts Library > Reference
Mui Ho Fine Arts Library Permanent Reserve				Fine Arts Library > Permanent Reserve
Mui Ho Fine Arts Library Reserve				Fine Arts Library > Reserve
Mui Ho Fine Arts Library New and Noteworthy				Fine Arts Library > New and Noteworthy
Mui Ho Fine Arts Library Flats				Fine Arts Library > Flats
Catherwood Library				Catherwood Library > Main Collection
Catherwood Library Multi-Copy Storage				Catherwood Library > Main Collection
Catherwood Library Labor Law Reference (Non-Circulating)				Catherwood Library > Labor Law Reference
Catherwood Library Reference (Non-Circulating)		Labor Law		Catherwood Library > Labor Law Reference
Catherwood Library Reference (Non-Circulating)				Catherwood Library > Reference
Catherwood Library Permanent Reserve				Catherwood Library > Reserve
Catherwood Library Main Desk				Catherwood Library > Main Desk
Kheel Center (Non-Circulating)				Kheel Center > Main Collection
Kheel Center (Request in advance)				Kheel Center > Request in advance
Kheel Center Reference (Non-Circulating)				Kheel Center > Reference
Kroch Asia Collections				Kroch Library Asia > Main Collection
Kroch Asia Collections Reference (Non-Circulating)				Kroch Library Asia > Reference
RMC Technical Services	X			Kroch Library Rare & Manuscripts > Technical Services
Rare and Manuscript Collections (Non-Circulating)				Kroch Library Rare & Manuscripts > Main Collection
Rare and Manuscript Collections (Request in advance)				Kroch Library Rare & Manuscripts > Request in Advance
Rare and Manuscript Collections Reference (Non-Circulating)				Kroch Library Rare & Manuscripts > Reference
Law Library				Law Library > Main Collection
Law Library Special Collections (Non-Circulating)				Law Library > Special Collections
Law Library Rare--Request in advance at Law Circulation Desk				Law Library > Request in Advance
Law Library Reference (Non-Circulating)				Law Library > Reference
Law Library Reserve				Law Library > Reserve
Law Library Technical Services (Non-Circulating)				Law Library > Technical Services
Law Library Legal Aid Clinic				Law Library > Legal Aid Clinic
Library Annex				Library Annex
Mann Circulation				Mann Library > Circulation
Mann Library Ellis Collection				Mann Library > Ellis Collection
Mann Library		Ellis		Mann Library > Ellis Collection
Mann Library		Curriculum Material		Mann Library > Curriculum Materials Collection
Mann Library				Mann Library > Main Collection
Mann Library Collection Development (Non-Circulating)				Mann Library > Collection Development
Mann Library New and Noteworthy				Mann Library > New and Noteworthy
Mann Library Reference (Non-Circulating)				Mann Library > Reference
Mann Library Reserve				Mann Library > Reserve
